title,id,price,condition,availability,channel,feed label,language,additional image link,all clicks,brand,description,image link,link,rating average,rating count,shipping(country),new_title,meta_description,image_alt
Stirrings Simple Apple Cocktail Mixer,5995d041356551215755c8f2,6.99 USD,new,in stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,0,Stirrings,"Get Stirrings Simple Apple Cocktail Mixer from Legacy Wine and Liquor, Sanford, FL for $6.99",https://cityhive-production-cdn.cityhive.net/products/604798c8110b56265d79c56c/large.png?format=square,https://legacywineandliquor.com/shop/product/stirrings-simple-apple-cocktail-mixer/5995d041356551215755c8f2?option-id=f1cdb1bedf674f54fd797c6573432479f3c8010f357c2953ed0eff3fff3b94e5,,,US,Apple Cocktail Mixer - Stirrings | Perfect for Cocktails,Discover Stirrings Apple Cocktail Mixer at Legacy Wine & Liquor. Buy now for $6.99 and elevate your drinks!,Stirrings Simple Apple Cocktail Mixer Bottle
BACARDI Superior White Rum,6126d0d1bca4e21c27d231f6,7.99 USD,new,out of stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/680624c76c351e5954b667df/large.png?format=square,0,Bacardi,"BACARDI Superior is the perfect white rum that you can casually sip or mix into any number of cocktails to liven up the party. This BACARDI white rum liquor is aged in American white oak barrels and shaped through a secret blend of charcoal for a distinctive smoothness that makes it easy to have fun. This superior BACARDI Rum alcohol is a light and aromatically balanced aged rum that is 80 proof and offers an aroma of almonds and fruit with a smooth and creamy flavor and a dry, clean, fresh finish. When you are out with your friends enjoying the moment, use these Bacardi Superior Rum mini liquor bottles as a drink mixer with a number of tropical cocktails or alcohol drinks such as a Mojito, frozen Daiquiri, Rum and Cola, Pina Colada, or even a Rum Punch. BACARDI is the oldest and largest family-owned rum in the world.",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/bacardi-superior-white-rum/6126d0d1bca4e21c27d231f6?option-id=0582acaf80804d53e6b782ce355181da532ebf9abf4d13c291aa32fa2c7d5f15,5.0,8.0,US,BACARDI Superior White Rum - Smooth & Versatile Spirit,,Meta: Discover BACARDI Superior White Rum's smoothness. Perfect for cocktails. Elevate your parties with BACARDI. Shop now for a taste of excellence!
Tripping Animals Brewing Co. Bloodfang,651e28e033bdbd074823c826,5.25 USD,new,out of stock,Online,US,en,,0,Tripping Animals Brewing Co.,"Get Tripping Animals Brewing Co. Bloodfang from Legacy Wine and Liquor, Sanford, FL for $5.25",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/tripping-animals-brewing-co-bloodfang/651e28e033bdbd074823c826?option-id=a43dd965a03621812351efb53091a30ebab98a2af052bbd43067451d8395d903,,,US,Bloodfang Craft Beer by Tripping Animals - Buy Online,,Meta: Discover Bloodfang by Tripping Animals at Legacy Wine & Liquor. Order now for just $5.25!
Fume Blueberry Mint Infinity 3500 Puffs,60c28b777fb9a821d220c4bd,20.99 USD,used,in stock,Online,US,en,,0,Skittles,FUME INFINITY BLUEBERRY MINT 3500PUF,https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/fume-blueberry-mint-infinity-3500-puffs/60c28b777fb9a821d220c4bd?option-id=c3a1a46570d1a83735f45e30314b70d4a6cced7a547434386be38e0638bd5760,,,US,Fume Infinity 3500 Puffs Blueberry Mint Vape,Discover Fume Infinity's Blueberry Mint - 3500 puffs of refreshing flavor. Shop now for the ultimate vaping experience!,Fume Infinity Blueberry Mint Vape 3500 Puffs
Gran Coramino Tequila Reposado,660621fd8225bb5e447fdf48,36.99 USD,new,in stock,Online,US,en,,2,Gran Coramino,"Kevin Hart's very own -- With flavors of toasted oak, sweet stone fruit, and roasted agave, Gran Coramino Reposado is a smooth, complex, and easy-drinking tequila with a sweet vanilla finish, crafted to bring new drinkers into the tequila category.",https://cityhive-production-cdn.cityhive.net/products/666c73958ba8e63dc0d2fbf7/large.png?format=square,https://legacywineandliquor.com/shop/product/gran-coramino-tequila-reposado/660621fd8225bb5e447fdf48?option-id=5b708db4d7e57cfff25403b35f91ef654f0ae0d47fa39b8f4994782e26499d35,5.0,1.0,US,Gran Coramino Reposado Tequila by Kevin Hart - Smooth & Complex,,Meta: Discover Gran Coramino Reposado by Kevin Hart. Enjoy smooth tequila with toasted oak and sweet vanilla. Shop now for a unique taste experience.
Big Top Hazy Skywalker Nipa 4/6pk,65f5067e981ec6287669ecbb,12.99 USD,new,in stock,Online,US,en,,0,,"Get Big Top Hazy Skywalker Nipa 4/6pk from Legacy Wine and Liquor, Sanford, FL for $12.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/big-top-hazy-skywalker-nipa-4-6pk/65f5067e981ec6287669ecbb?option-id=4833d9e7b7a3bf504808152b97104ee120d27b1720b198442681a1b54aa83c9b,,,US,Big Top Hazy Skywalker NIPA 4/6pk Craft Beer,,Meta: Discover Big Top Hazy Skywalker NIPA at Legacy Wine & Liquor. Buy now for $12.99!
13th Colony Maple Finished Bourbon,67d867fa22dba47a2650437f,79.99 USD,new,out of stock,Online,US,en,,0,13th Colony,13TH COLONY MAPLE FINSIHED BOURBON 113,https://cityhive-production-cdn.cityhive.net/product_details/67f332aa2668d7471101c826/primary_image/large.png?sig=c7b32239c9ad0bbbd988eb4d4eecabee05f0c1a91f4b784af92059e249664238,https://legacywineandliquor.com/shop/product/13th-colony-maple-finish-bourbon/67d867fa22dba47a2650437f?option-id=df341294b12248c7fa655403b804bb3ca812a5c410f780f82c490dbfb3b3fd5a,,,US,"Premium Maple-Finished Bourbon - 13th Colony, 113 Proof",,"Meta: Discover 13th Colony's Maple-Finished Bourbon. Elevate your taste with this 113 proof delight. Shop now for a rich, smooth experience."
Johnnie Walker Green Label,56c3372869702d27eda10300,80.99 USD,new,in stock,Online,US,en,,0,Johnnie Walker,"Indulge all of your senses with a smooth glass of Johnnie Walker Green Label Blended Malt Scotch Whisky. Crafted from a palette of Speyside, Highland, Lowland and Island malts and matured for at least 15 years, it delivers all the character of a single malt whisky, but with a greater depth of flavor. This award-winning spirit is a truly unique blend to savor while you sit back and unwind. Simply pour over ice in a whisky tumbler for an elegantly simple drink. Johnnie Walker was recognized as one of the world's top-trending Scotch whiskies at the 2020 Drinks International awards.",https://cityhive-production-cdn.cityhive.net/products/65cdce0eae25a32be4efbf9a/large.png?format=square,https://legacywineandliquor.com/shop/product/johnnie-walker-green-label/56c3372869702d27eda10300?option-id=f5ef534d9ba2cea7dde882f8cc2eff703d550a4e3f83a61a20ecd4a5419ee43f,3.8,38.0,US,Johnnie Walker Green Label 15-Year Blended Malt Scotch Whisky,,Meta: Discover Johnnie Walker Green Label's rich blend of malts. Savor 15 years of flavor depth. Order now for a premium whisky experience.
Cincoro Tequila Blanco,662193b18fae0926773f1c8f,32.99 USD,new,in stock,Online,US,en,,0,Cincoro,"Get Cincoro Tequila Blanco from Legacy Wine and Liquor, Sanford, FL for $32.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/cincoro-tequila-blanco/662193b18fae0926773f1c8f?option-id=28da42d0d6a11539ea0aa3f323995fd9ac59e51bb8ca2791042544e2a21d4a2f,,,US,Premium Cincoro Tequila Blanco - Buy Online Now,,Meta: Discover Cincoro Tequila Blanco at Legacy Wine & Liquor. Order today for $32.99 and elevate your spirits collection!
Astral Tequila Reposado,639384d913784637545706e7,25.99 USD,new,in stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/65496e5436328c1e00516efc/large.png?format=square,0,Astral Tequila,"Aged for 5 months in single use American oak bourbon barrels, Astral Reposado includes notes of agave, caramel, and oak.",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/astral-tequila-reposado/639384d913784637545706e7?option-id=ce90518787e048dd7d17add9d537575f132bfef65f424d946a6f661df1ba5cea,,,US,"Astral Reposado Tequila - Aged in Oak Barrels, Rich Flavor",,"Meta: Discover Astral Reposado Tequila by [Brand Name]. Enjoy rich agave, caramel, and oak notes. Elevate your taste. Shop now!"
Busch,566fc2357562757006910100,13.49 USD,new,out of stock,Online,US,en,,0,Busch,"Crack open a crisp, refreshing Busch Beer. Made with the finest ingredients including a blend of premium hops, exceptional barley malt, fine grains, and crisp water, Busch Beer delivers a refreshingly smooth taste and easy finish. Crack one open and enjoy a crisp, refreshing Busch Beer with your next burger, pizza, or chips.

Our History: Busch is brewed with a blend of premium American-grown and imported hops and a combination of malt and corn to provide a pleasant balanced flavor.

Since being introduced regionally in 1955, the Busch beer brand family has grown to become the top-selling value beer brand families. Busch Bavarian was the first beer brand Anheuser-Busch introduced following the repeal of Prohibition.",https://cityhive-production-cdn.cityhive.net/products/566fc2367562757006920100/large.png,https://legacywineandliquor.com/shop/product/busch/566fc2357562757006910100?option-id=0f5b8e7013be698782db48ef23ef65731697f44f3c5bf496708021e04028c6c6,5.0,1.0,US,Refreshing Busch Beer - Premium Hops & Smooth Taste,,"Meta: Discover Busch Beer by Anheuser-Busch. Enjoy a smooth, crisp taste. Perfect with burgers or pizza. Crack one open today!"
Rum Cojones Butter Pecan,5fe154889e284364ead43d99,16.99 USD,new,in stock,Online,US,en,,0,Butter,"Get Rum Cojones Butter Pecan from Legacy Wine and Liquor, Sanford, FL for $16.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/rum-cojones-butter-pecan/5fe154889e284364ead43d99?option-id=2ce983f7f643d0930620460bccdbab94a398e2da844e0eb432b7feb52c4ce656,,,US,Rum Cojones Butter Pecan Liqueur - Sweet & Smooth Flavor,,"Meta: Discover Rum Cojones Butter Pecan at Legacy Wine & Liquor. Shop now for just $16.99! Indulge in rich, buttery pecan goodness."
Colt 45 High Grav Cans,5afb77ccb230846ba51e4ff4,1.49 USD,new,out of stock,Online,US,en,,1,Colt 45,Colt 45 High Gravity Can 4pk 64 floz,https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/colt-45-high-grav-cans/5afb77ccb230846ba51e4ff4?option-id=12ef266eacb4157092a866f47ece81b7ace89e55c4a73bc0d9ab73a1a6f6cb85,,,US,Colt 45 High Gravity Beer Cans 4pk - 64 fl oz,,"Meta: Discover Colt 45 High Gravity Beer Cans, 4pk, 64 fl oz. Shop now at [Brand Name] for bold flavor and unbeatable deals!"
Medalla Light 12oz Bottles,5dacc0b7aedd2569b89315af,8.99 USD,new,out of stock,Online,US,en,,0,,"Get Medalla Light 12oz Bottles from Legacy Wine and Liquor, Sanford, FL for $8.99",https://cityhive-production-cdn.cityhive.net/products/5eeb88465bc98224d3d01839/large.png?format=square,https://legacywineandliquor.com/shop/product/medalla-light-12oz-bottles/5dacc0b7aedd2569b89315af?option-id=9875f03885952a0f290640258ace793aee4ece0324157eed003459f07d3b70b6,,,US,Medalla Light Beer 12oz Bottles - Refreshing Lager,,"Meta: Shop Medalla Light 12oz Bottles at Legacy Wine & Liquor, Sanford, FL. Enjoy crisp refreshment for just $8.99. Buy now!"
Master Of Mixes Loaded Bloody Mary Mix,5967012012f2fb071587e3f3,6.99 USD,new,in stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/5b21214479580c0456324be1/large.png?format=square,0,,MASTER MIX LOADED BLOODY MARY MIX,https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/master-of-mixes-loaded-bloody-mary-mix/5967012012f2fb071587e3f3?option-id=f37211de92e8c927354ae52121f0b5cc7331c52f7b5d20f23fd0bdfe4128888c,,,US,Premium Loaded Bloody Mary Mix - Master of Mixes,,Meta: Discover Master of Mixes' Loaded Bloody Mary Mix. Elevate your cocktails with our premium blend. Shop now for the ultimate taste experience!
